,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2022-06-21,253.717570501701,224.34830714009743,287.20044787660856,253.717570501701,253.717570501701,2.072685679460895,2.072685679460895,2.072685679460895,2.072685679460895,2.072685679460895,2.072685679460895,0.0,0.0,0.0,255.7902561811619
1,2022-06-22,254.0396456628785,226.16734408162665,286.1847414356346,254.0396456628785,254.0396456628785,2.758688781982227,2.758688781982227,2.758688781982227,2.758688781982227,2.758688781982227,2.758688781982227,0.0,0.0,0.0,256.79833444486076
2,2022-06-23,254.36172082405608,229.4157144815441,288.6245256315807,254.36172082405608,254.36172082405608,3.3146453562166673,3.3146453562166673,3.3146453562166673,3.3146453562166673,3.3146453562166673,3.3146453562166673,0.0,0.0,0.0,257.67636618027274
3,2022-06-24,254.68379598523362,228.8521029027384,289.28698916948326,254.68379598523362,254.68379598523362,4.260169038977831,4.260169038977831,4.260169038977831,4.260169038977831,4.260169038977831,4.260169038977831,0.0,0.0,0.0,258.9439650242114
4,2022-06-27,255.65002146876623,230.06599850556557,291.9250365933632,255.65002146876623,255.65002146876623,4.9884216762737985,4.9884216762737985,4.9884216762737985,4.9884216762737985,4.9884216762737985,4.9884216762737985,0.0,0.0,0.0,260.63844314504
5,2022-06-28,255.9720966299438,228.45518776310155,289.87072080055833,255.9720966299438,255.9720966299438,2.0726856794608755,2.0726856794608755,2.0726856794608755,2.0726856794608755,2.0726856794608755,2.0726856794608755,0.0,0.0,0.0,258.0447823094047
6,2022-06-29,256.2941717911213,228.11685034157864,288.479130637336,256.2941717911213,256.2941717911213,2.758688781984632,2.758688781984632,2.758688781984632,2.758688781984632,2.758688781984632,2.758688781984632,0.0,0.0,0.0,259.05286057310593
7,2022-06-30,256.61624695229887,230.0586780261283,289.21223464896894,256.61624695229887,256.61624695229887,3.3146453562030294,3.3146453562030294,3.3146453562030294,3.3146453562030294,3.3146453562030294,3.3146453562030294,0.0,0.0,0.0,259.9308923085019
8,2022-07-01,256.93832211347643,230.6038252502853,291.5413225898028,256.93832211347643,256.93832211347643,4.260169038967668,4.260169038967668,4.260169038967668,4.260169038967668,4.260169038967668,4.260169038967668,0.0,0.0,0.0,261.1984911524441
9,2022-07-05,258.22662278252864,229.12761298066133,289.23529044615265,258.22662278252864,258.22662278252864,2.0726856794561304,2.0726856794561304,2.0726856794561304,2.0726856794561304,2.0726856794561304,2.0726856794561304,0.0,0.0,0.0,260.29930846198477
10,2022-07-06,258.5486979497917,230.60390853296306,293.6438337580566,258.5486979497917,258.5486979497917,2.7586887819870367,2.7586887819870367,2.7586887819870367,2.7586887819870367,2.7586887819870367,2.7586887819870367,0.0,0.0,0.0,261.3073867317787
11,2022-07-07,258.87077311705474,231.5209759912644,294.5000303078377,258.87077311705474,258.87077311705474,3.314645356199646,3.314645356199646,3.314645356199646,3.314645356199646,3.314645356199646,3.314645356199646,0.0,0.0,0.0,262.1854184732544
12,2022-07-08,259.1928482843178,232.73816100602605,294.31197735996955,259.1928482843178,259.1928482843178,4.260169038957505,4.260169038957505,4.260169038957505,4.260169038957505,4.260169038957505,4.260169038957505,0.0,0.0,0.0,263.4530173232753
